Año,Album,Streams,Generos,Valoracion
Get Rich Or Die Tryin',50 Cent,5015462958,Hip Hop/Rap,3
Meteora,Linkin Park,4857430359,Rock,4
Fallen,Evanescence,2573148885,Rock,4
Dangerously In Love,Beyoncé,2464362757,R&B/Soul;Pop,2
Speakerboxxx/The Love Below,Outkast,2211349865,Hip Hop/Rap;Otros,3
Hot Fuss,The Killers,4060162609,Otros;Rock,3
Encore,Eminem,3386228369,Hip Hop/Rap,2
Confessions,Usher,3299536656,R&B/Soul,3
American Idiot,Green Day,2758705949,Pop;Rock,2
Hopes And Fears,Keane,2566351836,Otros;Rock,1
Demon Days,Gorillaz,2948130686,Pop;Hip Hop/Rap;Rock;R&B/Soul,4
In Between Dreams,Jack Johnson,2803420126,Pop;Otros;Rock,3
X&Y,Coldplay,2527392067,Rock,3
Late Registration,Kanye West,2491103690,Hip Hop/Rap;Otros,3
The Massacre,50 Cent,2378962508,Hip Hop/Rap,2
Back To Black,Amy Winehouse,4261114016,R&B/Soul,1
The Black Parade / Living With Ghosts,My Chemical Romance,3806924926,Rock,3
Stadium Arcadium,Red Hot Chili Peppers,2989597344,Rock,2
Loose,Nelly Furtado,2953534601,R&B/Soul;Hip Hop/Rap;Pop;Otros,1
Konvicted,Akon,2417997343,R&B/Soul;Hip Hop/Rap;Pop;Otros,3
Graduation,Kanye West,6355810973,Hip Hop/Rap,3
Good Girl Gone,Bad Rihanna,5570160652,R&B/Soul;Pop;Otros,1
Favourite Worst Nightmare,Arctic Monkeys,4075391033,Rock,2
Minutes To Midnight,Linkin Park,2733270633,Rock,4
Oracular Spectacular,MGMT,2313245470,Rock,3
The Fame / The Fame Monster,Lady Gaga,7029921065,Pop;Otros;R&B/Soul,1
I Am...Sasha Fierce,Beyoncé,3935537492,R&B/Soul;Pop;Otros,2
Only By The Night,Kings of Leon,3212467798,Pop;Rock,4
Viva La Vida Or Death And All His Friends,Coldplay,3191610805,Pop;Rock;R&B/Soul,2
We Sing. We Dance. We Steal Things.,Jason Mraz,2963479787,R&B/Soul;Pop;Otros;Rock,2
One More Love,David Guetta,3288304738,Otros,1
The E.N.D. (The Energy Never Dies),Black Eyed Peas,3087011081,Pop;Hip Hop/Rap,1
Man On The Moon: The End Of Day,Kid Cudi,3007076499,Hip Hop/Rap;Otros,3
The Time Of Our Lives,Miley Cyrus,2898815286,Pop,2
Lungs,Florence + The Machine,2636288380,Pop;Hip Hop/Rap;Rock;R&B/Soul,2
Doo-Wops & Hooligans,Bruno Mars,8836895099,Pop;Otros,1
Teenage Dream,Katy Perry,7426655469,Pop;Otros,1
Recovery,Eminem,4699656635,Hip Hop/Rap,4
My Beautiful Dark Twisted Fantasy,Kanye West,4287368290,Hip Hop/Rap,3
Loud,Rihanna,4188312373,R&B/Soul;Pop,2
21,Adele,7493158989,Pop;Otros;R&B/Soul,1
Take Care,Drake,5248985573,R&B/Soul;Hip Hop/Rap,3
Nothing But The Beat,David Guetta,4945525074,Pop;Otros,1
Christmas,Michael BublÃ©,4292450846,Otros,2
Plus (+),Ed Sheeran,3995037918,Pop;Rock,4
Born To Die,Lana Del Rey,8289318753,Pop;Rock,2
Night Visions,Imagine Dragons,7474237617,Pop;Rock,1
Unorthodox Jukebox,Bruno Mars,6485788863,R&B/Soul;Pop;Otros,1
Good Kid M.A.A.D. City,Kendrick Lamar,5765676787,Hip Hop/Rap,3
Overexposed,Maroon 5,5616595718,Pop;Rock,1
AM,Arctic Monkeys,10206282905,R&B/Soul;Pop;Rock,2
Midnight Memories,One Direction,4872924425,Pop,1
I Love You.,The Neighbourhood,4866221444,Rock,2
True,Avicii,4564715759,Otros,2
Pure Heroine,Lorde,4327682098,Pop;Rock,2
Multiply (x),Ed Sheeran,10966001277,Pop;R&B/Soul,2
In The Lonely Hour,Sam Smith,10361486253,R&B/Soul;Pop;Otros;Rock,1
1989,Taylor Swift,8491505731,Pop,1
My Everything,Ariana Grande,6861604115,R&B/Soul;Pop,1
Hozier,Hozier,6478917901,R&B/Soul;Otros;Rock,2
Purpose,Justin Bieber,10557976750,Pop;Otros;R&B/Soul,2
Beauty Behind The Madness,The Weeknd,9772778063,R&B/Soul;Otros,1
Blurryface,Twenty One Pilots,7462148539,Pop;Otros;Rock,2
25,Adele,7051872305,Pop;Rock,1
Hamilton,Lin-Manuel Miranda & Various Artists,6819967165,R&B/Soul;Pop;Otros,1
Starboy,The Weeknd,15152427933,R&B/Soul;Hip Hop/Rap;Pop;Otros,1
Views,Drake,10011741047,R&B/Soul;Hip Hop/Rap,3
Stoney,Post Malone,9241536498,R&B/Soul;Hip Hop/Rap,3
Anti,Rihanna,7460170379,Pop;Hip Hop/Rap;Rock,1
Illuminate,Shawn Mendes,7295387804,R&B/Soul;Pop,1
Divide (Ã·),Ed Sheeran,15323020727,Pop,1
Dua Lipa,Dua Lipa,12852757647,Pop;Otros,2
Don't Smile At Me,Billie Eilish,9970505546,Pop;Rock,1
17,XXXTentacion,8929152487,Otros;Rock,2
Damn.,Kendrick Lamar,8621977772,Hip Hop/Rap,3
Beerbongs & Bentleys,Post Malone,12046850283,R&B/Soul;Hip Hop/Rap,4
?,XXXTentacion,11188440264,Hip Hop/Rap,2
Scorpion,Drake,10375008655,R&B/Soul;Hip Hop/Rap,3
Goodbye & Good Riddance,Juice WRLD,9450330122,Hip Hop/Rap,4
Astroworld,Travis Scott,9434301979,Hip Hop/Rap;Otros,4
Hollywood's Bleeding,Post Malone,13278726012,R&B/Soul;Hip Hop/Rap; Pop,3
When We All Fall Asleep Where Do We Go?,Billie Eilish,11498199337,Pop,1
Lover,Taylor Swift,11341908986,Pop,1
Fine Line,Harry Styles,9716691468,Pop;Rock,1
Divinely Uninspired To A Hellish Extent,Lewis Capaldi,9106944832,Pop;Rock,2
After Hours,The Weeknd,13072041994,R&B/Soul;Rock,1
