Año;Album;Streams;Generos;Generos_Reducidos
2003;Get Rich Or Die Tryin' 50 Cent;5015462958;['Gangsta rap', 'East Coast rap'];['Hip Hop/Rap']
2003;Meteora Linkin Park;4857430359;['Alternativa/independiente', 'Heavy metal', 'Rock'];['Rock']
2003;Fallen Evanescence;2573148885;['Nu metal', 'Metal gótico', 'Metal alternativo'];['Rock']
2003;Dangerously In Love Beyoncé;2464362757;['R&B/Soul', 'Pop'];['R&B/Soul', 'Pop']
2003;Speakerboxxx/The Love Below Outkast;2211349865;['Hip-hop/rap', 'Estacional'];['Hip Hop/Rap', 'Otros']
2004;Hot Fuss The Killers;4060162609;['Alternativa/independiente', 'Dance/Electrónica', 'Rock'];['Otros', 'Rock']
2004;Encore Eminem;3386228369;['Hip-hop/rap'];['Hip Hop/Rap']
2004;Confessions Usher;3299536656;['R&B'];['R&B/Soul']
2004;American Idiot Green Day;2758705949;['Punk', 'Pop punk'];['Pop', 'Rock']
2004;Hopes And Fears Keane;2566351836;['alternative rock band', ''];['Otros', 'Rock']
2005;Demon Days Gorillaz;2948130686;['Alternativa/independiente', 'Pop', 'UK R&B', 'Hip-hop/rap'];['Pop', 'Hip Hop/Rap', 'Rock', 'R&B/Soul']
2005;In Between Dreams Jack Johnson;2803420126;['Pop', 'Rock', 'Folk'];['Pop', 'Otros', 'Rock']
2005;X&Y Coldplay;2527392067;['Alternativa/independiente', 'Rock'];['Rock']
2005;Late Registration Kanye West;2491103690;['Spoken Word', 'Hip-hop/rap'];['Hip Hop/Rap', 'Otros']
2005;The Massacre 50 Cent;2378962508;['Hip-hop/rap'];['Hip Hop/Rap']
2006;Back To Black Amy Winehouse;4261114016;['UK R&B'];['R&B/Soul']
2006;The Black Parade / Living With Ghosts My Chemical Romance;3806924926;['Alternativa/independiente', 'Rock'];['Rock']
2006;Stadium Arcadium Red Hot Chili Peppers;2989597344;['Alternativa/independiente', 'Rock'];['Rock']
2006;Loose Nelly Furtado;2953534601;['R&B/Soul', 'Pop', 'UK R&B', 'Halloween music', 'Hip-hop/rap'];['R&B/Soul', 'Hip Hop/Rap', 'Pop', 'Otros']
2006;Konvicted Akon;2417997343;['Reggae', 'R&B/Soul', 'Pop', 'Hip-hop/rap', 'Afrobeats'];['R&B/Soul', 'Hip Hop/Rap', 'Pop', 'Otros']
2007;Graduation Kanye West;6355810973;['Hip-hop/rap'];['Hip Hop/Rap']
2007;Good Girl Gone Bad Rihanna;5570160652;['R&B/Soul', 'Dance/Electrónica', 'Pop'];['R&B/Soul', 'Pop', 'Otros']
2007;Favourite Worst Nightmare Arctic Monkeys;4075391033;['Alternativa/independiente', 'Rock'];['Rock']
2007;Minutes To Midnight Linkin Park;2733270633;['Rock alternativo'];['Rock']
2007;Oracular Spectacular MGMT;2313245470;['Alternativa/independiente', 'French Indie'];['Rock']
2008;The Fame / The Fame Monster Lady Gaga;7029921065;['Pop', 'UK R&B', 'Halloween music'];['Pop', 'Otros', 'R&B/Soul']
2008;I Am...Sasha Fierce Beyoncé;3935537492;['R&B/Soul', 'Pop', 'Estacional'];['R&B/Soul', 'Pop', 'Otros']
2008;Only By The Night Kings of Leon;3212467798;['Rock alternativo', 'Pop rock', 'Rock sureño'];['Pop', 'Rock']
2008;Viva La Vida Or Death And All His Friends Coldplay;3191610805;['Alternativa/independiente', 'Pop', 'UK R&B'];['Pop', 'Rock', 'R&B/Soul']
2008;We Sing. We Dance. We Steal Things. Jason Mraz;2963479787;['Reggae', 'R&B/Soul', 'Alternativa/independiente', 'Pop'];['R&B/Soul', 'Pop', 'Otros', 'Rock']
2009;One More Love David Guetta;3288304738;['Dance/electrónica'];['Otros']
