Año,Album,Artista,Streams,Generos,Valoracion,aoty,soty,Link
2003,Get Rich Or Die Tryin',50 Cent,5015462958,Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/5G5rgQHzdQnw32SI0WjIo5?si=e6cf39617bb44366
2003,Meteora,Linkin Park,4857430359,Rock,4,0,0,https://open.spotify.com/intl-es/album/4Gfnly5CzMJQqkUFfoHaP3?si=984521e5242e4ea8
2003,Fallen,Evanescence,2573148885,Rock,4,0,0,https://open.spotify.com/intl-es/album/02w1xMzzdF2OJxTeh1basm?si=b529c660d8054982
2003,Dangerously In Love,Beyoncé,2464362757,R&B/Soul;Pop,2,0,0,https://open.spotify.com/intl-es/album/6oxVabMIqCMJRYN1GqR3Vf?si=087767d2667b4c00
2003,Speakerboxxx/The Love Below,Outkast,2211349865,Hip Hop/Rap;Otros,3,1,0,https://open.spotify.com/intl-es/album/1UsmQ3bpJTyK6ygoOOjG1r?si=3fb8a39bb53f441d
2004,Hot Fuss,The Killers,4060162609,Otros;Rock,3,0,0,https://open.spotify.com/intl-es/album/4piJq7R3gjUOxnYs6lDCTg?si=c97835e6a0164f4e
2004,Encore,Eminem,3386228369,Hip Hop/Rap,2,0,0,https://open.spotify.com/intl-es/album/7tsXPtLqhab1zWeubbf6JH?si=8eaccbcef28d4066
2004,Confessions,Usher,3299536656,R&B/Soul,3,0,0,https://open.spotify.com/intl-es/track/4719foL6R25RSHSJ1shNaj?si=84bb6a7a59fd43d4
2004,American Idiot,Green Day,2758705949,Pop;Rock,2,0,0,https://open.spotify.com/intl-es/album/5dN7F9DV0Qg1XRdIgW8rke?si=e0bcd112bcf2471d
2004,Hopes And Fears,Keane,2566351836,Otros;Rock,1,0,0,https://open.spotify.com/intl-es/album/0MlTOiC5ZYKFGeZ8h3D4rd?si=d21931f5c4e048fe
2005,Demon Days,Gorillaz,2948130686,Pop;Hip Hop/Rap;Rock;R&B/Soul,4,0,0,https://open.spotify.com/intl-es/album/0bUTHlWbkSQysoM3VsWldT?si=ad72c480fc2945ce
2005,In Between Dreams,Jack Johnson,2803420126,Pop;Otros;Rock,3,0,0,https://open.spotify.com/intl-es/album/2B9q4KPjOEYu885Keo9dfX?si=47d574a9ca4f469c
2005,X&Y,Coldplay,2527392067,Rock,3,0,0,https://open.spotify.com/intl-es/album/4E7bV0pzG0LciBSWTszra6?si=d354d9ac84934698
2005,Late Registration,Kanye West,2491103690,Hip Hop/Rap;Otros,3,0,0,https://open.spotify.com/intl-es/album/5ll74bqtkcXlKE7wwkMq4g?si=7519a0556d744c9f
2005,The Massacre,50 Cent,2378962508,Hip Hop/Rap,2,0,0,https://open.spotify.com/intl-es/album/2pidzXTaHV4WaIJYRxKDCH?si=a9f4d094de084bdc
2006,Back To Black,Amy Winehouse,4261114016,R&B/Soul,1,0,0,https://open.spotify.com/intl-es/album/097eYvf9NKjFnv4xA9s2oV?si=17a75a3dee77491c
2006,The Black Parade / Living With Ghosts,My Chemical Romance,3806924926,Rock,3,0,0,https://open.spotify.com/intl-es/album/29mlJg2PpuihKDNYZalIxw?si=2aa164bbeeee4ffa
2006,Stadium Arcadium,Red Hot Chili Peppers,2989597344,Rock,2,0,0,https://open.spotify.com/intl-es/album/7xl50xr9NDkd3i2kBbzsNZ?si=7afb96c8c9c94ac6
2006,Loose,Nelly Furtado,2953534601,R&B/Soul;Hip Hop/Rap;Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/2yboV2QBcVGEhcRlYuPpDT?si=eff6019a9e664782
2006,Konvicted,Akon,2417997343,R&B/Soul;Hip Hop/Rap;Pop;Otros,3,0,0,https://open.spotify.com/intl-es/album/6kzoWb4UzvKYgbDfAwgaFq?si=34b6c9db3f354b11
2007,Graduation,Kanye West,6355810973,Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/4SZko61aMnmgvNhfhgTuD3?si=9ca9e57845f14c5e
2007,Good Girl Gone,Bad Rihanna,5570160652,R&B/Soul;Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/3JSWZWeTHF4HDGt5Eozdy7?si=b954f241b80a423d
2007,Favourite Worst Nightmare,Arctic Monkeys,4075391033,Rock,2,0,0,https://open.spotify.com/intl-es/album/1XkGORuUX2QGOEIL4EbJKm?si=71747a9cf232459e
2007,Minutes To Midnight,Linkin Park,2733270633,Rock,4,0,0,https://open.spotify.com/intl-es/album/2tlTBLz2w52rpGCLBGyGw6?si=81552ef037084ff3
